"idtweet,"datecreated","username","text","lang","location","lat","lng"
"918949365900857344","Fri Oct 13 21:19:36 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Light Brown ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/CkDVy9FkZz","in","Indonesia","-6.19390717","106.76477194"
"918949689164263425","Fri Oct 13 21:20:53 +0000 2017","MiftahulIlmiR","Yg baju merah gw kok, serius. @ Macassar https://t.co/SF6TV8T1XW","in","Undefined","-5.13333333","119.41666667"
"918949737558024192","Fri Oct 13 21:21:05 +0000 2017","delista20","Lagu ini 😭😭😭 dalem banget @RaffiAhmadLagi @familyrans_fc… https://t.co/whTX4TIgtl","in","Indonesia","-8.5","116.667"
"918949861147512832","Fri Oct 13 21:21:34 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/M9acUhkrHH","in","Indonesia","-6.19390717","106.76477194"
"918949922019463168","Fri Oct 13 21:21:49 +0000 2017","OClouds","Waktu ngumpulnya para Gadis kaledupa, bone,makassar,kabaena,😘😘😘 @… https://t.co/hj3uWef6nD","in","Indonesia","-3.99237649","122.51236127"
"918950052403535872","Fri Oct 13 21:22:20 +0000 2017","filipppppo","Persawahan pagi Hibrida Kelurahan Tangge kecamatan Lembor kab. Manggarai Barat @ Desa Lembor… https://t.co/fLPNfHltDP","in","Indonesia","-8.7032286","120.1768209"
"918950145848250368","Fri Oct 13 21:22:42 +0000 2017","RaiyaniM","Yuk sukseskan . Dinas Pariwisata dan Kebudayaan Provinsi Jawa Barat mengundang kalian pecinta… https://t.co/BNzjfvDCMD","in","Indonesia","-6.9745064","106.5278312"
"918950198772199424","Fri Oct 13 21:22:55 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Cream ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/LaNQc993mN","in","Indonesia","-6.19390717","106.76477194"
"918950391013785600","Fri Oct 13 21:23:41 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Mocca ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/7PDlhCv6Fs","in","Indonesia","-6.19390717","106.76477194"
"918950558567776256","Fri Oct 13 21:24:21 +0000 2017","senja_jingga17","Entah by Iwan Fals (at Masjid Al-Buruuj Namlea) — https://t.co/0hx4x1nY4X","in","Undefined","-3.24571","127.0928"
"918950631678754817","Fri Oct 13 21:24:38 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co White ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/nEWMaIKuXc","in","Indonesia","-6.19390717","106.76477194"
"918950688092176384","Fri Oct 13 21:24:51 +0000 2017","FammzPT","Assalamualaikum Wr Wb *LIMA AYAT MOTIVATOR* *1. Anda dapat berubah, jika Anda mau mengubah… (at •FammmZHome•) — https://t.co/GMAHkb9MPH","in","Indonesia","0.56955","123.04074"
"918950817016700928","Fri Oct 13 21:25:22 +0000 2017","ChairiaRhia","At Bandara Samratulangi Airport — https://t.co/T63kq0A4b5","in","Indonesia","1.4839","124.83968"
"918951067643125760","Fri Oct 13 21:26:22 +0000 2017","AldhoArief_H","Isilah titik titik dibawah ini dengan benar. Mak anak mu .... wisuda? @ Semarang, Indonesia https://t.co/B4AVG0I7gu","in","Indonesia","-6.96667","110.417"
"918951087780106240","Fri Oct 13 21:26:27 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/H9FbKO34C9","in","Indonesia","-6.19390717","106.76477194"
"918951200107536384","Fri Oct 13 21:26:54 +0000 2017","dani_irwanda92","Setua apapun kita, kita masih dalam proses mencari tempat sejati dalam hidup ini.","in","Indonesia","-1.4924185","102.1127706"
"918951238997221376","Fri Oct 13 21:27:03 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co White ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/PE6Ev0kLHo","in","Indonesia","-6.19390717","106.76477194"
"918951278427774976","Fri Oct 13 21:27:12 +0000 2017","evidianas","Kangen banget sama anak satu ini. Sekarang lagi dimana ya? Terus lagi sibuk apa ya? Udah lama… https://t.co/yzsShIrW4t","in","Indonesia","-6.96667","110.417"
"918951338683219969","Fri Oct 13 21:27:27 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/AUIE7m9jzs","in","Indonesia","-6.19390717","106.76477194"
"918951421331963904","Fri Oct 13 21:27:46 +0000 2017","noviokt44594579","Muterrr muterrr sajaa ⭕ ⭕ @ Sangkring Art Space https://t.co/8uMlZWkHjt","in","Indonesia","-7.81219493","110.34311631"
"918951473698033664","Fri Oct 13 21:27:59 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Light Brown ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/OWLDROeGNZ","in","Indonesia","-6.19390717","106.76477194"
"918951532170825739","Fri Oct 13 21:28:13 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/IkJt9ZKydX","in","Indonesia","-6.22592881","106.99675083"
"918951533542346752","Fri Oct 13 21:28:13 +0000 2017","dimanamacetid","[04:20] #BEKASI #PADAT Tol Jatiwaringin - Cikampek #Elshinta","in","Indonesia","-6.254213","106.964943"
"918951585539014656","Fri Oct 13 21:28:25 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/Q1b3VkKmIW","in","Indonesia","-6.19390717","106.76477194"
"918951616161701888","Fri Oct 13 21:28:33 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/nOzX5QZwZd","in","Indonesia","-6.22592881","106.99675083"
"918951622381682688","Fri Oct 13 21:28:34 +0000 2017","huzaianggraini","Jalani nikmati syukuri 😇🙏🐱 @ RSUD Kota Dumai https://t.co/aTrOJgBnxR","in","Indonesia","1.67909861","101.45936687"
"918951683945848834","Fri Oct 13 21:28:49 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/cW9P2cbvGl","in","Indonesia","-6.22592881","106.99675083"
"918951754934272000","Fri Oct 13 21:29:06 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/ETRUOD2apF","in","Indonesia","-6.22592881","106.99675083"
"918951783602556929","Fri Oct 13 21:29:13 +0000 2017","Sisca30_","Assolatukhoiruminannaum 😊 Jangan lupa sholat untuk para pejuang shubuh dan kamu yg… https://t.co/ICk2XsyLk6","in","Indonesia","-6.75","107.5"
"918951818368970752","Fri Oct 13 21:29:21 +0000 2017","delista20","Sorry spam🙄🙄🙄 yang pasti lagu ini the best @RaffiAhmadLagi… https://t.co/QKSHfhNVVV","in","Indonesia","-8.5","116.667"
"918951837818011648","Fri Oct 13 21:29:26 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/YcPGxmdC8s","in","Indonesia","-6.22592881","106.99675083"
"918952156773994497","Fri Oct 13 21:30:42 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co White ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/w5XDFE5qi2","in","Indonesia","-6.19390717","106.76477194"
"918952259836432384","Fri Oct 13 21:31:06 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/qBTh9r5Xae","in","Indonesia","-6.19390717","106.76477194"
"918952271450218496","Fri Oct 13 21:31:09 +0000 2017","l_rohmatul","Harapan? InsyaAllah bisa dicapai. @ Malioboro Mall Jogja https://t.co/Mp4rHGlmGH","in","Indonesia","-7.79299717","110.36617339"
"918952371962695680","Fri Oct 13 21:31:33 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: Just&amp;Co Full Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/pStDJptqIv","in","Indonesia","-6.19390717","106.76477194"
"918952516955529216","Fri Oct 13 21:32:08 +0000 2017","riayudi06","Hanya karena pandangan mereka berbeda, bukan berarti pandangan mereka salah. Hargai sesama, jadi pribadi yang bebas… https://t.co/nBFJMDdWIk","in","Indonesia","-7.5944","110.8123126"
"918952709843275777","Fri Oct 13 21:32:53 +0000 2017","Sitinurlaelami","Jam 09.00-13.00 Dateng, yuk Kekinian Sayang, ada amanah lain:) #Izinkanhamba @ Bandung https://t.co/japWncwH5Z","in","Indonesia","-6.91278","107.606"
"918952714771542017","Fri Oct 13 21:32:55 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: BAPE Dark Grey ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/lN16Ij8DBU","in","Indonesia","-6.19390717","106.76477194"
"918952815002710017","Fri Oct 13 21:33:19 +0000 2017","SriJuniyanti90","Jaga Shalat ya 😉 @ Bittuang Tana Toraja https://t.co/QgwJYqrEn4","in","Indonesia","-2.972818","119.673162"
"918952909211160583","Fri Oct 13 21:33:41 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: BAPE White ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/YeRp3w5CKW","in","Indonesia","-6.19390717","106.76477194"
"918952979985702912","Fri Oct 13 21:33:58 +0000 2017","donoalone","Meskipun akhirnya belum tentu bahagia, Setidaknya kita pernah tertawa bersama . . . Lok : Setu… https://t.co/uVmoAWZTaA","in","Indonesia","-6.42058883","106.74923908"
"918953054900142080","Fri Oct 13 21:34:16 +0000 2017","CHICKSTOREinc",". SHORT CARGO ● CODE: BAPE Black ● PRICE: IDR 135K ( Belum Termasuk Ongkir… https://t.co/kWYyHh3PYa","in","Indonesia","-6.19390717","106.76477194"
"918953248089927680","Fri Oct 13 21:35:02 +0000 2017","ZanuarHaq","Saya tidak ingin ketinggalan I don t want to miss a thing By #aerosmith #day #webstagram @… https://t.co/OOOaYXZKzm","in","Indonesia","-7.36625503","110.51437323"
"918953410946322434","Fri Oct 13 21:35:41 +0000 2017","NJeridhinata","Mabar malem kuy yang mau mabar add salah tau nich name kami ya. belom bikin squad @ Mobile Legends https://t.co/mfSAUZOtye","in","Indonesia","-6.29565","106.93619"
"918953417044881408","Fri Oct 13 21:35:42 +0000 2017","l_rohmatul","Huruf J wkwk. @ Malioboro Mall Jogja https://t.co/CK5uHeDC8x","in","Indonesia","-7.79299717","110.36617339"
"918953502210121729","Fri Oct 13 21:36:02 +0000 2017","Sitinurlaelami","#Izinkanhamba @ Bandung https://t.co/SI8SYZQbPE","in","Indonesia","-6.91278","107.606"
"918953752442236928","Fri Oct 13 21:37:02 +0000 2017","TangerangID","at 4:00am: temperature down 26°C -&gt; 25°C wind 5kmh -&gt; 3kmh","in","Indonesia","-6.19","106.63"
"918954460574990337","Fri Oct 13 21:39:51 +0000 2017","daddyellzea","With Youra at Warung Kopi Asiang [pic] — https://t.co/6KcWzSOUnm","in","Indonesia","-0.02901","109.3409"
"918954905238245376","Fri Oct 13 21:41:37 +0000 2017","AnchaMr","#TALENTMANAGEMENTNGONONGENE#MR REZEKI#ACTION#endors @ Sambal Setan https://t.co/oCEqUNLJxK","in","Indonesia","-6.41526681","106.81555515"
"918954956983623680","Fri Oct 13 21:41:49 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/zflWov3di4","in","Indonesia","-6.22592881","106.99675083"
"918955016878264321","Fri Oct 13 21:42:04 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/IXoeFRDmLh","in","Indonesia","-6.22592881","106.99675083"
"918955058112483328","Fri Oct 13 21:42:13 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/verZD8foDk","in","Indonesia","-6.22592881","106.99675083"
"918955096947417088","Fri Oct 13 21:42:23 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/9fKOLRLfFb","in","Indonesia","-6.22592881","106.99675083"
"918955144342990848","Fri Oct 13 21:42:34 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/5POwbHOled","in","Indonesia","-6.22592881","106.99675083"
"918955204124532737","Fri Oct 13 21:42:48 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/UPbVBJ7qLx","in","Indonesia","-6.22592881","106.99675083"
"918955241235771392","Fri Oct 13 21:42:57 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/CHgrzjro0u","in","Indonesia","-6.22592881","106.99675083"
"918955289298092032","Fri Oct 13 21:43:08 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/Qb4344IxQo","in","Indonesia","-6.22592881","106.99675083"
"918955949267730432","Fri Oct 13 21:45:46 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/Q61UITSiIp","in","Indonesia","-6.22592881","106.99675083"
"918955992557195267","Fri Oct 13 21:45:56 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/akf7HAjU9H","in","Indonesia","-6.22592881","106.99675083"
"918956036966506497","Fri Oct 13 21:46:07 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/j5bQwDeO8Z","in","Indonesia","-6.22592881","106.99675083"
"918956085356007424","Fri Oct 13 21:46:18 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/1AXhP5yPre","in","Indonesia","-6.22592881","106.99675083"
"918956107103481856","Fri Oct 13 21:46:23 +0000 2017","sibapuk","At Penjaringan — https://t.co/Q3ZPU8Qkzp","in","Indonesia","-6.15306","106.79539"
"918956135696044032","Fri Oct 13 21:46:30 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/7kMqTZstlg","in","Indonesia","-6.22592881","106.99675083"
"918956158764929025","Fri Oct 13 21:46:36 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/NNnzQLT65y","in","Indonesia","-6.22592881","106.99675083"
"918956162510475264","Fri Oct 13 21:46:37 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/mFG24PJeag","in","Indonesia","-6.22592881","106.99675083"
"918956289358565376","Fri Oct 13 21:47:07 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/ppDKrm4Ixz","in","Indonesia","-6.22592881","106.99675083"
"918956316718223360","Fri Oct 13 21:47:13 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/HUKwu7Nn6v","in","Indonesia","-6.22592881","106.99675083"
"918956339874942976","Fri Oct 13 21:47:19 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/YY0G50AsUB","in","Indonesia","-6.22592881","106.99675083"
"918956342299070464","Fri Oct 13 21:47:20 +0000 2017","dariz_n","Bangun shalat subuh dulu yu","in","Indonesia","-6.6926004","108.3258049"
"918956358061391873","Fri Oct 13 21:47:23 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/fnYGhSpITN","in","Indonesia","-6.22592881","106.99675083"
"918956377250369536","Fri Oct 13 21:47:28 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/gnSvTk8jRn","in","Indonesia","-6.22592881","106.99675083"
"918956435098148866","Fri Oct 13 21:47:42 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/wYxyQFc1pH","in","Indonesia","-6.22592881","106.99675083"
"918956478333153280","Fri Oct 13 21:47:52 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/Y9WDE77kbr","in","Indonesia","-6.22592881","106.99675083"
"918956525787344896","Fri Oct 13 21:48:03 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/vEtoHjdpdk","in","Indonesia","-6.22592881","106.99675083"
"918956583492632576","Fri Oct 13 21:48:17 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/OWu01EFE5B","in","Indonesia","-6.22592881","106.99675083"
"918956619358023681","Fri Oct 13 21:48:26 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/LSvstQlg3M","in","Indonesia","-6.22592881","106.99675083"
"918956682075504640","Fri Oct 13 21:48:41 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/wZGRSTilAr","in","Indonesia","-6.22592881","106.99675083"
"918956728879910912","Fri Oct 13 21:48:52 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/woTjUxXnEI","in","Indonesia","-6.22592881","106.99675083"
"918956858299305985","Fri Oct 13 21:49:23 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/HeatPBS2YC","in","Indonesia","-6.22592881","106.99675083"
"918956879757287424","Fri Oct 13 21:49:28 +0000 2017","henky_handoyo","Tausyiah subuh dulu..... @ Pekayon https://t.co/zDdsuGPM19","in","Indonesia","-6.1920492","106.97081613"
"918956914347823105","Fri Oct 13 21:49:36 +0000 2017","cintapejalan","#mymemory [141017] Obrolan warunk coffee ☕ 👳Kamu tahu gak telegram? 👲Oh, ya j las tuh kan… https://t.co/zCqBEFrQqg","in","Indonesia","-7.41667","109.233"
"918956919196327936","Fri Oct 13 21:49:37 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/UIYB5cd2zr","in","Indonesia","-6.22592881","106.99675083"
"918956932957949953","Fri Oct 13 21:49:40 +0000 2017","hedwigus","Good morning Ambarawa.. (@ Ambarawa in Jawa Tengah) https://t.co/6T3Yjt0bVr https://t.co/eV4a3hnHLT","in","Indonesia","-7.25983922","110.40440083"
"918956962401914880","Fri Oct 13 21:49:47 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/Hg7lI8Kr2V","in","Indonesia","-6.22592881","106.99675083"
"918957035894472706","Fri Oct 13 21:50:05 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/RVwRWSANQm","in","Indonesia","-6.22592881","106.99675083"
"918957081981362176","Fri Oct 13 21:50:16 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/DaqXhMuvMw","in","Indonesia","-6.22592881","106.99675083"
"918957144636092416","Fri Oct 13 21:50:31 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/84sjVvuPfk","in","Indonesia","-6.22592881","106.99675083"
"918957181940068353","Fri Oct 13 21:50:40 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/V9V4kkx9Wm","in","Indonesia","-6.22592881","106.99675083"
"918957245404033024","Fri Oct 13 21:50:55 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/Q6kvjHsGZH","in","Indonesia","-6.22592881","106.99675083"
"918957353617248258","Fri Oct 13 21:51:21 +0000 2017","ptgamisosialglo","PT GAMI SOSIAL GLOBAL Kami adalah perusahaan yang bergerak di bidang industri snack atau makanan… https://t.co/W5Eo0lrwDL","in","Indonesia","-6.22592881","106.99675083"
